location_code,id
E13-3L,83676
E13-4L,83677
E13-1R,83678
E13-2R,83679
E13-3R,83680
E13-4R,83681
E14-1L,83682
E14-2L,83683
E14-3L,83684
E14-4L,83685
E14-1R,83686
E14-2R,83687
E14-3R,83688
E14-4R,83689
E15-1L,83690
E15-2L,83691
E15-3L,83692
E15-4L,83693
E15-1R,83694
E15-2R,83695
E15-3R,83696
E15-4R,83697
E16-1L,83698
E16-2L,83699
E16-3L,83700
E16-4L,83701
E16-1R,83702
E16-2R,83703
E16-3R,83704
E16-4R,83705
E17-1L,83706
E17-2L,83707
E17-3L,83708
E17-4L,83709
E17-1R,83710
E17-2R,83711
E17-3R,83712
E17-4R,83713
E18-1L,83714
E18-2L,83715
E18-3L,83716
E18-4L,83717
E18-1R,83718
E18-2R,83719
E18-3R,83720
E18-4R,83721
E19-1L,83722
E19-2L,83723
E19-3L,83724
E19-4L,83725
E19-1R,83726
E19-2R,83727
E19-3R,83728
E19-4R,83729
E20-1L,83730
E20-2L,83731
E20-3L,83732
E20-4L,83733
E20-1R,83734
E20-2R,83735
E20-3R,83736
E20-4R,83737
F01-1L,83738
F01-2L,83739
F01-3L,83740
F01-4L,83741
F01-1R,83742
F01-2R,83743
F01-3R,83744
F01-4R,83745
F02-1L,83746
F02-2L,83747
F02-3L,83748
F02-4L,83749
F02-1R,83750
F02-2R,83751
F02-3R,83752
F02-4R,83753
F03-1L,83754
F03-2L,83755
F03-3L,83756
F03-4L,83757
F03-1R,83758
F03-2R,83759
F03-3R,83760
F03-4R,83761
F04-1L,83762
F04-2L,83763
F04-3L,83764
F04-4L,83765
F04-1R,83766
F04-2R,83767
F04-3R,83768
F04-4R,83769
F05-1L,83770
F05-2L,83771
F05-3L,83772
F05-4L,83773
F05-1R,83774
F05-2R,83775
F05-3R,83776
F05-4R,83777
F06-1L,83778
F06-2L,83779
F06-3L,83780
F06-4L,83781
F06-1R,83782
F06-2R,83783
F06-3R,83784
F06-4R,83785
F07-1L,83786
F07-2L,83787
F07-3L,83788
F07-4L,83789
F07-1R,83790
F07-2R,83791
F07-3R,83792
F07-4R,83793
F08-1L,83794
F08-2L,83795
F08-3L,83796
F08-4L,83797
F08-1R,83798
F08-2R,83799
F08-3R,83800
F08-4R,83801
F09-1L,83802
F09-2L,83803
F09-3L,83804
F09-4L,83805
F09-1R,83806
F09-2R,83807
F09-3R,83808
F09-4R,83809
F10-1L,83810
F10-2L,83811
F10-3L,83812
F10-4L,83813
F10-1R,83814
F10-2R,83815
F10-3R,83816
F10-4R,83817
F11-1L,83818
F11-2L,83819
F11-3L,83820
F11-4L,83821
F11-1R,83822
F11-2R,83823
F11-3R,83824
F11-4R,83825
F12-1L,83826
F12-2L,83827
F12-3L,83828
F12-4L,83829
F12-1R,83830
F12-2R,83831
F12-3R,83832
F12-4R,83833
G01-1L,83834
G01-2L,83835
G01-3L,83836
G01-4L,83837
G01-1R,83838
G01-2R,83839
G01-3R,83840
G01-4R,83841
G02-1L,83842
G02-2L,83843
G02-3L,83844
G02-4L,83845
G02-1R,83846
G02-2R,83847
G02-3R,83848
G02-4R,83849
G03-1L,83850
G03-2L,83851
G03-3L,83852
G03-4L,83853
G03-1R,83854
G03-2R,83855
G03-3R,83856
G03-4R,83857
G04-1L,83858
G04-2L,83859
G04-3L,83860
G04-4L,83861
G04-1R,83862
G04-2R,83863
G04-3R,83864
G04-4R,83865
G05-1L,83866
G05-2L,83867
G05-3L,83868
G05-4L,83869
G05-1R,83870
G05-2R,83871
G05-3R,83872
G05-4R,83873
G06-1L,83874
G06-2L,83875
G06-3L,83876
G06-4L,83877
G06-1R,83878
G06-2R,83879
G06-3R,83880
G06-4R,83881
G07-1L,83882
G07-2L,83883
G07-3L,83884
G07-4L,83885
G07-1R,83886
G07-2R,83887
G07-3R,83888
G07-4R,83889
G08-1L,83890
G08-2L,83891
G08-3L,83892
G08-4L,83893
G08-1R,83894
G08-2R,83895
G08-3R,83896
G08-4R,83897
G09-1L,83898
G09-2L,83899
G09-3L,83900
G09-4L,83901
G09-1R,83902
G09-2R,83903
